"indicador_id","localidade_id","ano","valor","justificativa","data_insercao","data_referencia","fonte","url_fonte","metodologia_calculo","data_coleta","confiabilidade","usuario_insercao","processo_etl","versao_metodologia","flags","nota","esfera_poder","metadados","direcionalidade"
"CAPAG - Endividamento","AC","2022","0.6312994780927449","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","estadual","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Poupança Corrente","AC","2022","0.9095194591738562","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","estadual","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Liquidez","AC","2022","0.12141539917088487","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","estadual","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Nota Final","AC","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","estadual","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Endividamento","AL","2022","0.8448616295547948","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","estadual","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Poupança Corrente","AL","2022","0.8261434156867012","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","estadual","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Liquidez","AL","2022","0.14016867946300332","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","estadual","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Nota Final","AL","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","estadual","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Endividamento","AM","2022","0.4627058353714219","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","estadual","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Poupança Corrente","AM","2022","0.9178133165161685","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","estadual","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Liquidez","AM","2022","0.050798640987789995","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","estadual","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Nota Final","AM","2022","","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","estadual","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Endividamento","AP","2022","0.791280554938281","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","B","estadual","{'nota': 'B', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
"CAPAG - Poupança Corrente","AP","2022","0.7693530510381394","None","2025-06-16 20:50:01.729603+00:00","2022-01-01","Tesouro Nacional","https://www.tesourotransparente.gov.br/temas/capacidade-de-pagamento-capag","None","None","None","None","preprocess_capag","None","None","A","estadual","{'nota': 'A', 'frequencia': 'anual', 'esferaDePoder': 'estadual'}","a > b > c"
